dataset,dataelement,shortname,code,dataelementuid,dataelementdesc,categoryoptioncombo,categoryoptioncombocode,categoryoptioncombouid,classification
MER Results: MOH Facility Based FY19,"PMTCT_STAT (N, MOH, Sex/KnownNewPosNewNeg): Known Results","PMTCT_STAT (N, MOH, Sex/KnownNewPosNewNeg)",PMTCT_STAT_N_MOH_Sex_KnownNewPosNewNeg,IXkZ7eWtFHs,Number of pregnant women who were tested for HIV and know their results plus number of pregnant women with known HIV status at entry to services.,"Female, Known at Entry Positive",o0gcwyuh7mU,o0gcwyuh7mU,n/a
MER Results: MOH Facility Based FY19,"PMTCT_STAT (N, MOH, Sex/KnownNewPosNewNeg): Known Results","PMTCT_STAT (N, MOH, Sex/KnownNewPosNewNeg)",PMTCT_STAT_N_MOH_Sex_KnownNewPosNewNeg,IXkZ7eWtFHs,Number of pregnant women who were tested for HIV and know their results plus number of pregnant women with known HIV status at entry to services.,"Female, Newly Identified Negative",PCasMOWl24Y,PCasMOWl24Y,n/a
MER Results: MOH Facility Based FY19,"PMTCT_STAT (N, MOH, Sex/KnownNewPosNewNeg): Known Results","PMTCT_STAT (N, MOH, Sex/KnownNewPosNewNeg)",PMTCT_STAT_N_MOH_Sex_KnownNewPosNewNeg,IXkZ7eWtFHs,Number of pregnant women who were tested for HIV and know their results plus number of pregnant women with known HIV status at entry to services.,"Female, Newly Identified Positive",pc4W2rmWK4q,pc4W2rmWK4q,n/a
MER Results: MOH Facility Based FY19,"TB_PREV (N, MOH, Age Aggregated/Sex/HIVStatus): IPT","TB_PREV (N, MOH, Age Agg/Sex/HIVStatus): IPT",TB_PREV_N_MOH_Age_Agg_Sex_HIVStatus,J1E7eh1CyA0,Number of ART patients who completed a course of TB preventive therapy or at least 6 months of Isoniazid Preventive Therapy (IPT) during the reporting period,"<15, Female, Positive",chrwpNxHlQQ,chrwpNxHlQQ,coarse
MER Results: MOH Facility Based FY19,"TB_PREV (N, MOH, Age Aggregated/Sex/HIVStatus): IPT","TB_PREV (N, MOH, Age Agg/Sex/HIVStatus): IPT",TB_PREV_N_MOH_Age_Agg_Sex_HIVStatus,J1E7eh1CyA0,Number of ART patients who completed a course of TB preventive therapy or at least 6 months of Isoniazid Preventive Therapy (IPT) during the reporting period,"15+, Unknown Sex, Positive",qli3maq9Ot7,qli3maq9Ot7,coarse
MER Results: MOH Facility Based FY19,"TB_PREV (N, MOH, Age Aggregated/Sex/HIVStatus): IPT","TB_PREV (N, MOH, Age Agg/Sex/HIVStatus): IPT",TB_PREV_N_MOH_Age_Agg_Sex_HIVStatus,J1E7eh1CyA0,Number of ART patients who completed a course of TB preventive therapy or at least 6 months of Isoniazid Preventive Therapy (IPT) during the reporting period,"<15, Male, Positive",zHSL7ATXJib,zHSL7ATXJib,coarse
MER Results: MOH Facility Based FY19,"TB_PREV (N, MOH, Age Aggregated/Sex/HIVStatus): IPT","TB_PREV (N, MOH, Age Agg/Sex/HIVStatus): IPT",TB_PREV_N_MOH_Age_Agg_Sex_HIVStatus,J1E7eh1CyA0,Number of ART patients who completed a course of TB preventive therapy or at least 6 months of Isoniazid Preventive Therapy (IPT) during the reporting period,"Unknown Age, Male, Positive",UN9ZOZLLVqN,UN9ZOZLLVqN,coarse
MER Results: MOH Facility Based FY19,"TB_PREV (N, MOH, Age Aggregated/Sex/HIVStatus): IPT","TB_PREV (N, MOH, Age Agg/Sex/HIVStatus): IPT",TB_PREV_N_MOH_Age_Agg_Sex_HIVStatus,J1E7eh1CyA0,Number of ART patients who completed a course of TB preventive therapy or at least 6 months of Isoniazid Preventive Therapy (IPT) during the reporting period,"15+, Female, Positive",Yf1BiWq71NE,Yf1BiWq71NE,coarse
MER Results: MOH Facility Based FY19,"TB_PREV (N, MOH, Age Aggregated/Sex/HIVStatus): IPT","TB_PREV (N, MOH, Age Agg/Sex/HIVStatus): IPT",TB_PREV_N_MOH_Age_Agg_Sex_HIVStatus,J1E7eh1CyA0,Number of ART patients who completed a course of TB preventive therapy or at least 6 months of Isoniazid Preventive Therapy (IPT) during the reporting period,"<15, Unknown Sex, Positive",uURluLqPIJ5,uURluLqPIJ5,coarse
MER Results: MOH Facility Based FY19,"TB_PREV (N, MOH, Age Aggregated/Sex/HIVStatus): IPT","TB_PREV (N, MOH, Age Agg/Sex/HIVStatus): IPT",TB_PREV_N_MOH_Age_Agg_Sex_HIVStatus,J1E7eh1CyA0,Number of ART patients who completed a course of TB preventive therapy or at least 6 months of Isoniazid Preventive Therapy (IPT) during the reporting period,"15+, Male, Positive",XX7hDj6iz0D,XX7hDj6iz0D,coarse
