DATIM_Indicator_Category,DATIM_Indicator_ID,DATIM_Disag_ID,DATIM_Disag_Name,Operation,MOH_Indicator_ID,MOH_Indicator_Name,MOH_Disag_ID,MOH_Disag_Name
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,IXB6r4yuaNs,TO-REPLACE--CI-Indicator-Name-001,HQWtIkUYJnX,TO-REPLACE--CI-Disag-Name-001
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,IXB6r4yuaNs,TO-REPLACE--CI-Indicator-Name-001,SULdDcCMhFZ,TO-REPLACE--CI-Disag-Name-002
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,IXB6r4yuaNs,TO-REPLACE--CI-Indicator-Name-001,QTQthvWluSq,TO-REPLACE--CI-Disag-Name-003
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,IXB6r4yuaNs,TO-REPLACE--CI-Indicator-Name-001,O3iQ4ZrdfMu,TO-REPLACE--CI-Disag-Name-004
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,IXB6r4yuaNs,TO-REPLACE--CI-Indicator-Name-001,qFM8SzeRUzs,TO-REPLACE--CI-Disag-Name-005
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,IXB6r4yuaNs,TO-REPLACE--CI-Indicator-Name-001,dOs57l5veXk,TO-REPLACE--CI-Disag-Name-006
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,IXB6r4yuaNs,TO-REPLACE--CI-Indicator-Name-001,jnjGnaXRYFY,TO-REPLACE--CI-Disag-Name-007
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,IXB6r4yuaNs,TO-REPLACE--CI-Indicator-Name-001,HfKG4nY4GxP,TO-REPLACE--CI-Disag-Name-008
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,IXB6r4yuaNs,TO-REPLACE--CI-Indicator-Name-001,nmvcJXCOkbZ,TO-REPLACE--CI-Disag-Name-009
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,IXB6r4yuaNs,TO-REPLACE--CI-Indicator-Name-001,LhM3JYaC4sw,TO-REPLACE--CI-Disag-Name-010
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,IXB6r4yuaNs,TO-REPLACE--CI-Indicator-Name-001,COIMYUgXS10,TO-REPLACE--CI-Disag-Name-011
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,IXB6r4yuaNs,TO-REPLACE--CI-Indicator-Name-001,XQcnS0da9M6,TO-REPLACE--CI-Disag-Name-012
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,IXB6r4yuaNs,TO-REPLACE--CI-Indicator-Name-001,Hhvh6cEoyBW,TO-REPLACE--CI-Disag-Name-013
HTS_TST,HTS_TST_N_MOH,HllvX50cXC0,Total,ADD,IXB6r4yuaNs,TO-REPLACE--CI-Indicator-Name-001,Sh5mbUDWl1v,TO-REPLACE--CI-Disag-Name-014
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,HrQbkVgBM1X,Positive | <15 | Female,ADD,qXZ0XZSxPMf,TO-REPLACE--CI-Indicator-Name-002,HQWtIkUYJnX,TO-REPLACE--CI-Disag-Name-001
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,HrQbkVgBM1X,Positive | <15 | Female,ADD,qXZ0XZSxPMf,TO-REPLACE--CI-Indicator-Name-002,SULdDcCMhFZ,TO-REPLACE--CI-Disag-Name-002
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,HrQbkVgBM1X,Positive | <15 | Female,ADD,qXZ0XZSxPMf,TO-REPLACE--CI-Indicator-Name-002,QTQthvWluSq,TO-REPLACE--CI-Disag-Name-003
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,HrQbkVgBM1X,Positive | <15 | Female,ADD,qXZ0XZSxPMf,TO-REPLACE--CI-Indicator-Name-002,O3iQ4ZrdfMu,TO-REPLACE--CI-Disag-Name-004
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,R4WXCEzPZcY,Positive | <15 | Male,ADD,qXZ0XZSxPMf,TO-REPLACE--CI-Indicator-Name-002,HfKG4nY4GxP,TO-REPLACE--CI-Disag-Name-008
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,R4WXCEzPZcY,Positive | <15 | Male,ADD,qXZ0XZSxPMf,TO-REPLACE--CI-Indicator-Name-002,nmvcJXCOkbZ,TO-REPLACE--CI-Disag-Name-009
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,R4WXCEzPZcY,Positive | <15 | Male,ADD,qXZ0XZSxPMf,TO-REPLACE--CI-Indicator-Name-002,LhM3JYaC4sw,TO-REPLACE--CI-Disag-Name-010
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,R4WXCEzPZcY,Positive | <15 | Male,ADD,qXZ0XZSxPMf,TO-REPLACE--CI-Indicator-Name-002,COIMYUgXS10,TO-REPLACE--CI-Disag-Name-011
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,DY0yrJtBeSC,Positive | <15 | SexUnknown,,,,,
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,WXV5qLgw7kE,Positive | 15+ | Female,ADD,qXZ0XZSxPMf,TO-REPLACE--CI-Indicator-Name-002,qFM8SzeRUzs,TO-REPLACE--CI-Disag-Name-005
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,WXV5qLgw7kE,Positive | 15+ | Female,ADD,qXZ0XZSxPMf,TO-REPLACE--CI-Indicator-Name-002,dOs57l5veXk,TO-REPLACE--CI-Disag-Name-006
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,WXV5qLgw7kE,Positive | 15+ | Female,ADD,qXZ0XZSxPMf,TO-REPLACE--CI-Indicator-Name-002,jnjGnaXRYFY,TO-REPLACE--CI-Disag-Name-007
HTS_TST,HTS_TST_N_MOH_Age_Sex_Result,XQ52MZdCLMe,Positive | 15+ | Male,ADD,qXZ0XZSxPMf,TO-REPLACE--CI-Indicator-Name-002,XQcnS0da9M6,TO-REPLACE--CI-Disag-Name-012
